image_name|image_id|image_width|image_height|annotation_id|category|category_id|iscrowd|bbox_xmin|bbox_ymin|bbox_xmax|bbox_ymax|bbox_width|bbox_height|bbox_area|segmentation|segmentation_area
PMC4276059_00006.jpg|370215|613|791|3603707|text|1|0|63.16|643.6|297.16|665.82|234.0|22.22|5199.48|[[63.16, 643.6, 297.16, 643.6, 297.16, 652.84, 255.96, 652.84, 255.96, 665.82, 63.16, 665.82, 63.16, 656.58, 63.16, 643.6]]|4665.377011853037
PMC4276059_00006.jpg|370215|613|791|3603708|text|1|0|315.16|643.6|549.1600000000001|665.82|234.0|22.22|5199.48|[[315.16, 643.6, 549.15, 643.6, 549.15, 652.84, 528.82, 652.84, 528.82, 665.82, 315.16, 665.82, 315.16, 656.58, 315.16, 643.6]]|4936.198979093693
PMC4276059_00006.jpg|370215|613|791|3603709|text|1|0|63.16|669.57|297.15|730.8000000000001|233.99|61.23|14327.2077|[[75.12, 669.57, 297.14, 669.57, 297.14, 682.61, 297.15, 682.61, 297.15, 691.85, 297.13, 691.85, 297.13, 708.57, 297.14, 708.57, 297.14, 717.81, 297.13, 717.81, 297.13, 730.79, 63.16, 730.79, 63.16, 721.55, 63.16, 708.57, 63.16, 695.59, 63.16, 682.61, 75.12, 682.61, 75.12, 669.57]]|14170.140532249352
PMC4276059_00006.jpg|370215|613|791|3603710|text|1|0|315.16|669.56|549.1500000000001|730.79|233.99|61.23|14327.2077|[[327.12, 669.56, 549.14, 669.56, 549.14, 678.81, 549.12, 678.81, 549.12, 695.59, 549.14, 695.59, 549.14, 708.57, 549.14, 708.57, 549.14, 717.81, 549.12, 717.81, 549.12, 730.79, 315.16, 730.79, 315.16, 721.55, 315.16, 708.57, 315.16, 695.59, 315.16, 682.6, 327.12, 682.6, 327.12, 669.56]]|14169.818803559989
PMC4276059_00006.jpg|370215|613|791|3603711|text|1|0|63.16|61.15|396.27|69.57|333.11|8.42|2804.7862|[[63.16, 61.15, 396.27, 61.15, 396.27, 69.57, 63.16, 69.57, 63.16, 61.15]]|2803.47303255101
PMC4276059_00006.jpg|370215|613|791|3603712|table|4|0|63.16|74.69|549.13|603.5799999999999|485.97|528.89|257024.6733|[[63.16, 74.69, 549.13, 74.69, 549.13, 603.57, 63.16, 603.57, 63.16, 74.69]]|257024.71969010105
PMC4878642_00002.jpg|370704|596|794|3609574|text|1|0|42.52|576.01|291.79|693.64|249.27|117.63|29321.6301|[[59.53, 576.01, 291.79, 576.01, 291.79, 588.81, 291.77, 588.81, 291.77, 602.22, 291.77, 602.22, 291.77, 615.02, 291.76, 615.02, 291.76, 628.42, 291.77, 628.42, 291.77, 641.22, 291.77, 654.63, 291.78, 654.63, 291.78, 667.43, 291.78, 667.43, 291.78, 680.54, 255.17, 680.54, 255.17, 693.64, 42.52, 693.64, 42.52, 680.84, 42.52, 667.74, 42.52, 654.63, 42.52, 641.53, 42.52, 628.42, 42.52, 615.32, 42.52, 602.22, 42.52, 589.11, 59.53, 589.11, 59.53, 576.01]]|28617.526570500107
PMC4878642_00002.jpg|370704|596|794|3609575|text|1|0|42.52|693.94|291.79|732.95|249.27|39.01|9724.0227|[[59.53, 693.94, 291.79, 693.94, 291.79, 706.74, 291.77, 706.74, 291.77, 719.85, 101.81, 719.85, 101.81, 732.95, 42.52, 732.95, 42.52, 720.15, 42.52, 707.05, 59.53, 707.05, 59.53, 693.94]]|7010.773245000048
PMC4878642_00002.jpg|370704|596|794|3609576|text|1|0|42.65|296.69|288.69|306.28|246.04|9.59|2359.5236|[[42.65, 296.69, 288.69, 296.69, 288.69, 306.28, 42.65, 306.28, 42.65, 296.69]]|2360.0156799999822
PMC4878642_00002.jpg|370704|596|794|3609577|text|1|0|42.52|336.21|291.02|354.79999999999995|248.5|18.59|4619.615|[[42.52, 336.21, 291.02, 336.21, 291.02, 345.8, 81.17, 345.8, 81.17, 354.8, 42.52, 354.8, 42.52, 345.21, 42.52, 336.21]]|2731.482367999968
PMC4878642_00002.jpg|370704|596|794|3609578|text|1|0|306.14|53.95|554.65|72.54|248.51|18.59|4619.8009|[[306.14, 53.95, 554.65, 53.95, 554.65, 63.54, 387.71, 63.54, 387.71, 72.54, 306.14, 72.54, 306.14, 62.95, 306.14, 53.95]]|3117.8391039999988
PMC4878642_00002.jpg|370704|596|794|3609579|text|1|0|308.66|716.17|551.73|731.36|243.07|15.19|3692.2333|[[308.66, 716.17, 551.73, 716.17, 551.73, 723.36, 510.31, 723.36, 510.31, 731.36, 308.66, 731.36, 308.66, 724.17, 308.66, 716.17]]|3361.420295999851
PMC4878642_00002.jpg|370704|596|794|3609580|table|4|0|42.52|357.16|306.39|567.0600000000001|263.87|209.9|55386.313|[[42.52, 357.16, 306.39, 357.16, 306.39, 567.07, 42.52, 567.07, 42.52, 357.16]]|55387.471641600016
PMC4878642_00002.jpg|370704|596|794|3609581|table|4|0|306.14|74.9|553.0|715.12|246.86|640.22|158044.7092|[[306.14, 74.9, 553.01, 74.9, 553.01, 715.12, 306.14, 715.12, 306.14, 74.9]]|158046.76088836003
PMC4878642_00002.jpg|370704|596|794|3609582|figure|5|0|42.52|55.57|306.39|292.83|263.87|237.26|62605.7962|[[42.52, 55.57, 306.39, 55.57, 306.39, 292.83, 42.52, 292.83, 42.52, 55.57]]|62606.23244094096
